epoch,step,test_loss,test_mae,train_loss_epoch,train_loss_step,train_mae_epoch,train_mae_step,val_loss,val_mae
0,19,,,,0.0039358241483569145,,0.06950712203979492,,
0,39,,,,0.0009188996627926826,,0.03332150727510452,,
0,59,,,,0.0006496729329228401,,0.026884250342845917,,
0,79,,,,0.00051766203250736,,0.023308560252189636,,
0,99,,,,0.00035199173726141453,,0.019696736708283424,,
0,119,,,,0.0003847091575153172,,0.020341794937849045,,
0,139,,,,0.0003960481262765825,,0.02055194228887558,,
0,159,,,,0.0003426570037845522,,0.018716201186180115,,
0,179,,,,0.0003504378837533295,,0.0180180873721838,,
0,199,,,,0.00027466577012091875,,0.016719399020075798,,
0,219,,,,0.0002501087146811187,,0.01669066771864891,,
0,239,,,,0.0003496664285194129,,0.018758786842226982,,
0,259,,,,0.00034976244205608964,,0.018576979637145996,,
0,279,,,,0.000219250243389979,,0.01531109306961298,,
0,299,,,,0.00023272394901141524,,0.015588337555527687,,
0,319,,,,0.000325022148899734,,0.017612436786293983,,
0,339,,,,0.0002807453565765172,,0.01655631884932518,,
0,359,,,,0.00027377731748856604,,0.017156535759568214,,
0,379,,,,0.0002873847261071205,,0.016867704689502716,,
0,399,,,,0.00028204728732816875,,0.016632644459605217,,
0,419,,,,0.0002491392660886049,,0.0167396180331707,,
0,439,,,,0.00024488047347404063,,0.015965890139341354,,
0,459,,,,0.0003181721840519458,,0.01670662686228752,,
0,479,,,,0.00029759833705611527,,0.017044194042682648,,
0,499,,,,0.0003017873386852443,,0.016909515485167503,,
0,519,,,,0.00028855435084551573,,0.01668645069003105,,
0,539,,,,0.000311587646137923,,0.01603250950574875,,
0,559,,,,0.00022469683608505875,,0.015500228852033615,,
0,579,,,,0.00029300746973603964,,0.016844501718878746,,
0,599,,,,0.0003582412900868803,,0.01748066395521164,,
0,619,,,,0.0002819637884385884,,0.01600136049091816,,
0,639,,,,0.00026114730280824006,,0.016953816637396812,,
0,659,,,,0.000261602719547227,,0.015793539583683014,,
0,679,,,,0.0002794160391204059,,0.01681259647011757,,
0,699,,,,0.00019867965602315962,,0.01446917187422514,,
0,719,,,,0.0003107768134213984,,0.01735084503889084,,
0,739,,,,0.0003000316792167723,,0.016513630747795105,,
0,759,,,,0.0003537860466167331,,0.017067749053239822,,
0,779,,,,0.00029820570489391685,,0.016399431973695755,,
0,799,,,,0.0002944812295027077,,0.01685796119272709,,
0,819,,,,0.0002541760331951082,,0.01635407656431198,,
0,839,,,,0.00027097907150164247,,0.016323737800121307,,
0,859,,,,0.00027903009322471917,,0.01702597737312317,,
0,879,,,,0.000282808905467391,,0.016803450882434845,,
0,899,,,,0.00023168032930698246,,0.015194257721304893,,
0,919,,,,0.0003810916095972061,,0.01779814064502716,,
0,939,,,,0.00024080442381091416,,0.016171492636203766,,
0,959,,,,0.00023203234013635665,,0.014704732224345207,,
0,979,,,,0.0002398329961579293,,0.01586897484958172,,
0,999,,,,0.00028123220545239747,,0.016760047525167465,,
0,1019,,,,0.0003068894147872925,,0.016165466979146004,,
0,1039,,,,0.0002833785256370902,,0.016819069162011147,,
0,1059,,,,0.0002681074838619679,,0.016930369660258293,,
0,1079,,,,0.0002444386191200465,,0.015301443636417389,,
0,1099,,,,0.0003013087552972138,,0.016437117010354996,,
0,1119,,,,0.0002387154527241364,,0.015295751392841339,,
0,1139,,,,0.00021442491561174393,,0.014640402980148792,,
0,1159,,,,0.00022029824322089553,,0.01553332805633545,,
0,1179,,,,0.00024917410337366164,,0.016263339668512344,,
0,1199,,,,0.00020788286929018795,,0.014853173866868019,,
0,1219,,,,0.0014329313999041915,,0.018689751625061035,,
0,1239,,,,0.00021043408196419477,,0.014617133885622025,,
0,1241,,,,,,,0.00028961533098481596,0.013029089197516441
0,1241,,,0.0006900689913891256,,0.019612273201346397,,,
1,1259,,,,0.0002724297228269279,,0.016503676772117615,,
1,1279,,,,0.00022120398352853954,,0.015247996896505356,,
1,1299,,,,0.0002598244755063206,,0.01645887829363346,,
1,1319,,,,0.0003163734800182283,,0.016980871558189392,,
1,1339,,,,0.00023588085605297238,,0.015024094842374325,,
1,1359,,,,0.000257945095654577,,0.016661912202835083,,
1,1379,,,,0.0002704574726521969,,0.015688281506299973,,
1,1399,,,,0.00026550766779109836,,0.015959398820996284,,
1,1419,,,,0.0002110170607920736,,0.014731382019817829,,
1,1439,,,,0.0002565450849942863,,0.01635301299393177,,
1,1459,,,,0.00019926956156268716,,0.01459857914596796,,
1,1479,,,,0.00032057653879746795,,0.016981910914182663,,
1,1499,,,,0.0002674688003025949,,0.016237381845712662,,
1,1519,,,,0.00029331681434996426,,0.016304776072502136,,
1,1539,,,,0.0003720675013028085,,0.016135286539793015,,
1,1559,,,,0.00025633437326177955,,0.016134824603796005,,
1,1579,,,,0.00029380788328126073,,0.01659853756427765,,
1,1599,,,,0.0002622212050482631,,0.01532609574496746,,
1,1619,,,,0.00022049594554118812,,0.014666021801531315,,
1,1639,,,,0.00020072489860467613,,0.014949366450309753,,
1,1659,,,,0.00022105299285613,,0.014979735016822815,,
1,1679,,,,0.00027508725179359317,,0.015920953825116158,,
1,1699,,,,0.00025674240896478295,,0.01578802429139614,,
1,1719,,,,0.0002300111809745431,,0.014986000955104828,,
1,1739,,,,0.0003118996974080801,,0.016199296340346336,,
1,1759,,,,0.00019648839952424169,,0.014325964264571667,,
1,1779,,,,0.0002755549503490329,,0.016163423657417297,,
1,1799,,,,0.00028870668029412627,,0.016574934124946594,,
1,1819,,,,0.00023919674276839942,,0.015475453808903694,,
1,1839,,,,0.0002648570225574076,,0.015295400284230709,,
1,1859,,,,0.00024453384685330093,,0.0151725048199296,,
1,1879,,,,0.0003469425719231367,,0.01680440828204155,,
1,1899,,,,0.000278115039691329,,0.016857082024216652,,
1,1919,,,,0.0002771515282802284,,0.016276059672236443,,
1,1939,,,,0.0002654460840858519,,0.016010457649827003,,
1,1959,,,,0.0002922263229265809,,0.016896512359380722,,
1,1979,,,,0.0002616189303807914,,0.016473866999149323,,
1,1999,,,,0.00025689718313515186,,0.01617657020688057,,
1,2019,,,,0.00028725044103339314,,0.016017301008105278,,
1,2039,,,,0.00023425322433467954,,0.015518398024141788,,
1,2059,,,,0.00027760310331359506,,0.01672796532511711,,
1,2079,,,,0.00031987688271328807,,0.01732386089861393,,
1,2099,,,,0.0002698667231015861,,0.01671079732477665,,
1,2119,,,,0.00021546240895986557,,0.014192062430083752,,
1,2139,,,,0.000258205778663978,,0.015929263085126877,,
1,2159,,,,0.00029686224297620356,,0.016126450151205063,,
1,2179,,,,0.0002363228559261188,,0.015451159328222275,,
1,2199,,,,0.0002813351165968925,,0.016362503170967102,,
1,2219,,,,0.0002311384305357933,,0.01528102532029152,,
1,2239,,,,0.0002942646387964487,,0.017194198444485664,,
1,2259,,,,0.0003263488761149347,,0.016037652269005775,,
1,2279,,,,0.00027563382172957063,,0.016342904418706894,,
1,2299,,,,0.00027697038603946567,,0.015690788626670837,,
1,2319,,,,0.0002470894542057067,,0.015797000378370285,,
1,2339,,,,0.0003074218111578375,,0.01650533452630043,,
1,2359,,,,0.00021422228019218892,,0.014519061893224716,,
1,2379,,,,0.0002680894103832543,,0.016355574131011963,,
1,2399,,,,0.00031672127079218626,,0.016869181767106056,,
1,2419,,,,0.0002580265572760254,,0.015132973901927471,,
1,2439,,,,0.0002511622151359916,,0.015275700017809868,,
1,2459,,,,0.0003329224418848753,,0.016662264242768288,,
1,2479,,,,0.00025085630477406085,,0.015664830803871155,,
1,2483,,,,,,,0.00018438888946548104,0.012205859646201134
1,2483,,,0.0002855998754967004,,0.01599266193807125,,,
2,2499,,,,0.0003377473331056535,,0.01626068353652954,,
2,2519,,,,0.0002175761037506163,,0.01491725817322731,,
2,2539,,,,0.0002368153800489381,,0.015630405396223068,,
2,2559,,,,0.00028248896705918014,,0.015150247141718864,,
2,2579,,,,0.00023684032203163952,,0.01542394794523716,,
2,2599,,,,0.0002794992469716817,,0.015761956572532654,,
2,2619,,,,0.0002902964479289949,,0.016533181071281433,,
2,2639,,,,0.00028986914549022913,,0.016062553972005844,,
2,2659,,,,0.0002679313765838742,,0.016136974096298218,,
2,2679,,,,0.0016396065475419164,,0.018803641200065613,,
2,2699,,,,0.00022730359341949224,,0.015073002316057682,,
2,2719,,,,0.0002492214844096452,,0.01569242775440216,,
2,2739,,,,0.00024058214330580086,,0.01562969759106636,,
2,2759,,,,0.000295477278996259,,0.017166249454021454,,
2,2779,,,,0.0002703866339288652,,0.016122667118906975,,
2,2799,,,,0.00022005265054758638,,0.014794564805924892,,
2,2819,,,,0.00026016286574304104,,0.01631050370633602,,
2,2839,,,,0.00024101551389321685,,0.015997260808944702,,
2,2859,,,,0.00022576881747227162,,0.01516368705779314,,
2,2879,,,,0.0002460142713971436,,0.01589682698249817,,
2,2899,,,,0.0003388229524716735,,0.016609560698270798,,
2,2919,,,,0.0003968066885136068,,0.017760807648301125,,
